,rideshare_company,pickup_zone,dropoff_zone,trip_length_miles,trip_time_seconds,base_passenger_fare_dollars,tolls_dollars,black_car_fund_dollars,sales_tax_dollars,congestion_surcharge_dollars,airport_fee_dollars,tip_dollars,driver_pay_dollars,driver_total_pay_dollars,good_fare,request_month,request_date,request_hour,request_minute,request_day_of_week,time_of_day,pickup_borough,dropoff_borough,tip_or_no_tip
11459,Lyft,Co-Op City,Eastchester,1.832,705,9.68,0.0,0.25,0.81,0.0,0.0,2.0,13.12,15.12,False,Dec,14,08,02,Thu,morning,Bronx,Bronx,True
11460,Uber,Van Cortlandt Village,Spuyten Duyvil/Kingsbridge,1.5,502,11.6,0.0,0.32,1.03,0.0,0.0,0.0,6.69,6.69,False,Dec,14,08,25,Thu,morning,Bronx,Bronx,False
11461,Uber,East Flatbush/Remsen Village,Brownsville,1.21,352,8.86,0.0,0.24,0.79,0.0,0.0,0.0,5.4,5.4,False,Dec,14,08,39,Thu,morning,Brooklyn,Brooklyn,False
11462,Uber,Lower East Side,Midtown East,2.61,785,27.98,0.0,0.77,2.48,2.75,0.0,0.0,18.31,18.31,False,Dec,14,09,06,Thu,morning,Manhattan,Manhattan,False
11463,Uber,Coney Island,Madison,3.38,830,16.98,0.0,0.47,1.51,0.0,0.0,0.0,12.24,12.24,False,Dec,14,10,17,Thu,morning,Brooklyn,Brooklyn,False
11464,Uber,Crown Heights North,Crown Heights South,1.22,602,9.68,0.0,0.27,0.86,0.0,0.0,0.0,12.31,12.31,False,Dec,14,11,31,Thu,morning,Brooklyn,Brooklyn,False
11465,Uber,Baisley Park,Kew Gardens,3.89,1241,18.78,0.0,0.52,1.67,0.0,0.0,0.0,16.77,16.77,False,Dec,14,12,47,Thu,afternoon,Queens,Queens,False
11466,Uber,Rosedale,Springfield Gardens South,2.23,544,12.49,0.0,0.34,1.11,0.0,0.0,0.0,11.55,11.55,False,Dec,14,14,32,Thu,afternoon,Queens,Queens,False
11467,Uber,Midtown Center,West Village,2.55,1494,30.5,0.0,0.84,2.71,2.75,0.0,0.0,19.39,19.39,False,Dec,14,14,52,Thu,afternoon,Manhattan,Manhattan,False
11468,Uber,Midwood,Borough Park,3.13,1516,23.26,0.0,0.64,2.06,0.0,0.0,0.0,18.7,18.7,False,Dec,14,15,04,Thu,afternoon,Brooklyn,Brooklyn,False
11469,Uber,UN/Turtle Bay South,Upper West Side North,4.97,2202,39.18,0.0,1.08,3.48,2.75,0.0,0.0,33.15,33.15,False,Dec,14,15,18,Thu,afternoon,Manhattan,Manhattan,False
11470,Uber,West Chelsea/Hudson Yards,Midtown Center,2.49,2386,46.26,0.0,1.27,4.11,2.75,0.0,0.0,28.15,28.15,False,Dec,14,15,52,Thu,afternoon,Manhattan,Manhattan,False
11471,Lyft,Ozone Park,Richmond Hill,2.0,880,11.28,0.0,0.29,0.95,0.0,0.0,0.0,11.0,11.0,False,Dec,14,16,23,Thu,afternoon,Queens,Queens,False
11472,Lyft,Cypress Hills,Cypress Hills,1.484,865,14.81,0.0,0.39,1.24,0.0,0.0,0.0,10.18,10.18,False,Dec,14,17,22,Thu,afternoon,Brooklyn,Brooklyn,False
11473,Uber,West Chelsea/Hudson Yards,Upper West Side South,3.78,1511,52.99,0.0,1.46,4.7,2.75,0.0,0.0,25.92,25.92,False,Dec,14,17,30,Thu,afternoon,Manhattan,Manhattan,False
11474,Uber,Upper West Side South,Midtown South,3.08,2355,40.47,0.0,1.11,3.59,2.75,0.0,0.0,33.96,33.96,False,Dec,14,17,51,Thu,afternoon,Manhattan,Manhattan,False
11475,Uber,SoHo,Two Bridges/Seward Park,1.68,1817,16.57,0.0,0.46,1.47,2.75,0.0,0.0,24.38,24.38,False,Dec,14,17,58,Thu,afternoon,Manhattan,Manhattan,False
11476,Uber,Riverdale/North Riverdale/Fieldston,Williamsbridge/Olinville,4.49,1163,19.63,0.0,0.54,1.74,0.0,0.0,0.0,16.83,16.83,False,Dec,14,18,01,Thu,evening,Bronx,Bronx,False
11477,Uber,Central Park,Midtown Center,1.97,914,54.81,0.0,1.51,4.86,2.75,0.0,0.0,28.14,28.14,False,Dec,14,18,04,Thu,evening,Manhattan,Manhattan,False
11478,Uber,Ozone Park,JFK Airport,6.26,1137,25.71,0.0,0.78,2.5,0.0,2.5,6.18,18.92,25.1,False,Dec,14,18,36,Thu,evening,Queens,Queens,True
11479,Uber,LaGuardia Airport,Outside of NYC,30.88,3111,152.91,8.69,4.51,0.0,0.0,2.5,0.0,78.19,78.19,True,Dec,14,19,09,Thu,evening,Queens,Queens,False
11480,Uber,Yorkville East,Murray Hill,3.25,1459,34.25,0.0,0.94,3.04,2.75,0.0,6.14,22.99,29.13,False,Dec,14,19,13,Thu,evening,Manhattan,Manhattan,True
11481,Lyft,Lenox Hill West,Upper East Side North,1.224,673,8.87,0.0,0.24,0.79,2.75,0.0,0.0,8.0,8.0,False,Dec,14,19,31,Thu,evening,Manhattan,Manhattan,False
11482,Uber,Murray Hill,Greenwich Village South,2.19,1319,18.91,0.0,0.52,1.68,0.75,0.0,0.0,7.95,7.95,False,Dec,14,20,01,Thu,evening,Manhattan,Manhattan,False
11483,Uber,Sunset Park West,Meatpacking/West Village West,8.41,1335,35.32,6.94,1.16,3.75,2.75,0.0,0.0,23.6,23.6,False,Dec,14,20,03,Thu,evening,Brooklyn,Brooklyn,False
11484,Uber,South Williamsburg,Bedford,0.7,449,12.67,0.0,0.35,1.12,0.0,0.0,0.0,6.8,6.8,False,Dec,14,20,07,Thu,evening,Brooklyn,Brooklyn,False
11485,Uber,LaGuardia Airport,Lincoln Square East,10.69,1891,88.57,6.94,2.7,8.7,2.75,2.5,0.0,47.05,47.05,False,Dec,14,20,54,Thu,evening,Queens,Queens,False
